"recipient","value"
"1Gf46XNYGQT1yY7AcAVd3bjFL5mnvsSK4V",6000000
"17StLDT3ht99jER72yV2rXjPdR9rSeDs2L",2764000000
"19EQRWBGUz6VCS4WrjQpDDzqMwGxNR7PHD",2000000
"139taUvLHTBPx4U4GWLRRzjBvoGgxy7qVk",2000000
"1N7GZXjAo3xQm1VABEKXN4RB3Xomcs3QiC",71000000
"1FtKN3C8TcmWyb1KfxKUmxxAdg3eUvfaEL",2000000
"1Gf46XNYGQT1yY7AcAVd3bjFL5mnvsSK4V",13000000
"14PtbSuVmjkDfraWau4t8DivR5dUJEXAar",2000000
"1A4CcRjvCEbPFtr1KXFZycvA32i6vEVgbH",2000000
"1Bgyhjf4fNncXKwQi6x5kNgRcZPtxf3MLq",2000000
"1BXS1ckXqpvFUVegt1fb4hMZ72LpwYfdan",2000000
"17HjuTWzEZM1AUJEiFmeD4aK7LxUMoS9d5",2000000
"1HZgyxEDXZo21ExK59pc4tqks7fTMkraqB",2000000
"1NRv6U8PRbKUJD1E2ViHsqhH7GapbPGGz5",2000000
"12hxFK5XutmhoV9VFRNacYgEUBPBmpkdoa",3889321
"1Q1ov6TGSZp8bU9FF9aGAFtz7FuJb8rgXv",15335037
"16yWnBF8ki7PhEY1QnbMaC9CgG7DZZcCSm",21632033
"1zwP3C1BLyghatP5Vr8y2MGMXCtAsuP1P",8686150
"1JD1Np3SdzZBS7yshZL1q7ruWhzGj3hQBo",18946550
"19CjZHhD3nrTuGzBhshJu8vkYDCRLXFDM8",29868948
"18VQ4xon6BkbQ19YAphzDwieoFogGbryY8",5352447
"17QmRMJmdburtfe1YPKb3sVVbj31ChM7Su",27169686
"1NhwQQg6mkmYquGjAyhtps7wm7JpgJ6vjs",20428196
"13a3ir2AkXqVa6SNFu3fUCddvcH17sMwEu",15927696
"1GVjehxXUGK1hoV7Fq35PLu27o8nVpMwD7",20872690
"1J461dxSCoJSY77Zfp6WmXodbmFMM6F68R",34485313
"1DRdTcfapppMRM9GmJyv3u1tALEgGsvgDf",2666963
"1PEQYkQByqsQjdceejk15SYbdkdSAmpY26",25613957
"12472D1qnHeR3aJN8gJfzehmFz6B9RuYVH",6871134
"1Marcq6vwQFzfPyY8jHEjTbwNA51qNbEV4",1169619
"1DRvHze7bXdiPWN3VgptaxYv9XVSQwwCa4",22261733
"15WdyWuum9LDWpTUCsL1Njwe8zEhcTHL1r",13000000000
"19vbyptFNvkxZD7nCEaigjp6kt2fJDw4N5",2000000
"19YkQBBQgfCkTj84MmFfPV5DvN5EBF3DCz",2000000
"1DDDFH4CiqDV3XJAxSaxPtQrEJpVoJTh5i",1000000
"1FuhQGj3UHL2K4Gu2SwQ1bbGdsHswcxKKN",112000000
"1F5dLQcFi8GXAqUrkSDaDJi22WLGm4ncre",2000000
"1K82TooNBawGRQwPUe9xGsDK6hq8i4qDT2",2000000
"14vtE71ypaxwxyd9eznYrhAm2s7WTSASxF",2000000
"1QLTATdwe1hC9MSaEq47dv5sE5W6jzAZu3",2000000
"1LZWPYweUAFhS2wVg8n2mgKwRnVjY6PxoN",53000000
"1KyucbPwH9ZVV5JZPED6Kqby2HiE6uenT4",2000000
"197fc5arHFNzjGYcsBH8uC28t3e4ggX6kE",2000000
"1AB493Qrz5Sw7XVYVcnYBRKfENTqgLGzEB",2000000
"1HX5L4yLw3MTyoWHngKjY9UHFJxnYgnMQW",7000000
"1DM97Nv32UYuLE2HTGhU5chLHq6u6ptMMJ",4000000
"12sBim8P6NGjcXyaXh1aiprNxx5L6BNbPK",2000000
"1LAdVxNJX4ChaQ2r5Bq1VPDHs37yEnKop",2000000
"14So3WiN6j46ii8MyaouBUgkFQsFHsBQ5Q",2000000
"12q1xkZYpKL3UvLCTKVrEwqwmmvEwV6TN4",2000000
"162xM3kgSUqFVb1kAi6ndSPjuSq7tRmDaD",2000000
